,Alpha,Delta_Pb,P_bar,T,Fx,Fy,Rho,q_inf,c_L,c_D
0,-6.0,138.91,1025.16,21.39,0.454,-5.439,1.213,271.71812005394486,-0.3026194733418841,0.025260018550692296
1,-4.0,140.12,1025.17,21.52,0.263,-2.604,1.212,274.11498748293855,-0.1436165903331673,0.014505055014448156
2,-3.0,140.68,1025.12,21.58,0.22,-1.542,1.212,275.22446778321375,-0.08470201589615618,0.012084593707622802
3,-2.0,140.67,1025.12,21.59,0.209,-0.454,1.212,275.2046546013388,-0.024940002424975308,0.011481190543656034
4,-1.0,137.44,1025.16,21.61,0.208,0.708,1.212,268.8069636582246,0.039818890596766035,0.011698205147072507
5,-0.0,139.51,1025.15,21.62,0.228,1.936,1.212,272.9065805724897,0.10724764352806074,0.012630404299792279
6,1.0,141.67,1025.05,21.66,0.259,3.785,1.211,277.18615884685477,0.20643852961841613,0.014126176795553442
7,2.0,138.17,1025.14,21.68,0.305,5.075,1.211,270.25253843979885,0.2838982256037176,0.01706186380475544
8,3.0,138.76,1025.1,21.69,0.364,6.378,1.211,271.42102606726615,0.3552527434148213,0.02027469404248902
9,4.0,138.11,1025.11,21.7,0.413,7.633,1.211,270.1337165191065,0.4271819384779302,0.023113604164992158
10,5.0,138.36,1025.1,21.71,0.497,9.005,1.211,270.62881678235107,0.5030441372441378,0.02776379080625613
11,6.0,138.56,1025.15,21.71,0.59,10.396,1.211,271.0249139073126,0.5799004812411988,0.03291085840056822
12,7.0,139.57,1025.06,21.71,0.693,11.787,1.211,273.02543406666524,0.6526744182786274,0.038373069641731455
13,8.0,140.36,1025.09,21.72,0.814,13.051,1.211,274.59046460660704,0.7185462897508478,0.04481623476033944
14,9.0,140.21,1025.11,21.73,0.95,14.303,1.211,274.29328886715933,0.7883305740387565,0.05236062681513099
15,10.0,140.08,1025.11,21.74,1.106,15.483,1.211,274.03574340055934,0.8541700002059217,0.06101608346107017
16,11.0,140.3,1025.11,21.74,1.254,16.089,1.211,274.471593295966,0.8861924827810055,0.06907112769018466
17,12.0,140.53,1025.13,21.74,1.431,16.843,1.211,274.92727400177563,0.9261856250403149,0.07868976010406048
18,12.5,137.73,1025.07,21.77,1.509,17.028,1.211,269.3812091111884,0.9556365616884775,0.08468731334201977
19,13.0,137.53,1025.17,21.79,1.588,17.161,1.211,268.98517438144364,0.9645187198520798,0.08925212558272261
20,13.5,139.46,1025.09,21.8,1.699,17.447,1.211,272.80753702766583,0.9668538030892216,0.0941528406859969
21,14.0,137.05,1025.09,21.82,1.81,17.33,1.211,268.0347523728235,0.9774709731721493,0.1020901593445811
22,14.5,137.96,1025.12,21.82,1.984,17.265,1.211,269.8366676374038,0.9673018787321975,0.11115707659453691
23,15.0,139.37,1025.1,21.83,2.215,17.426,1.211,272.62926101499403,0.9663215319983611,0.12282808409137898
24,15.5,139.85,1025.08,21.84,2.428,17.135,1.211,273.58010159779144,0.9468823378050104,0.1341715970931173
25,16.0,138.89,1025.11,21.83,4.125,16.121,1.211,271.6785070337505,0.8970839971309307,0.22954354495162144
26,16.5,139.56,1025.1,21.84,4.369,15.541,1.211,273.0056250570006,0.860604828681278,0.24193954678003368
27,17.0,136.05,1025.16,21.85,4.408,14.374,1.211,266.0549846688835,0.8167754092645859,0.2504762768914912
28,17.5,138.59,1025.18,21.86,4.576,14.096,1.211,271.08432977282496,0.7861182721720599,0.25519844022838717
29,17.0,139.14,1025.12,21.89,4.453,14.54,1.21,272.173680592581,0.8076341859618198,0.24734491266079672
30,16.5,138.24,1025.14,21.88,4.31,15.269,1.21,270.39116572417026,0.8537181417889604,0.24098010289543645
31,16.0,136.79,1025.12,21.9,4.062,15.708,1.21,267.5199766106433,0.887689511033367,0.2295514892931969
32,15.5,138.74,1025.12,21.92,3.815,16.698,1.21,271.38141417469626,0.930209496545189,0.21252540599592143
33,15.0,137.41,1025.11,21.93,2.2,17.129,1.21,268.7475607603929,0.9635713790752019,0.12375836499302027
34,14.5,137.97,1025.14,21.93,1.991,17.27,1.21,269.85647063307164,0.9675110079988436,0.11154107799222338
35,14.0,138.31,1025.17,21.93,1.818,17.33,1.21,270.52979485032813,0.968455952849003,0.10159566775992428
36,13.5,139.06,1025.12,21.94,1.716,17.527,1.21,272.0152224978066,0.9741162572628238,0.09537191176259517
37,13.0,139.04,1025.12,21.95,1.609,17.257,1.21,271.9756083499878,0.95924988480446,0.08943808684304201
38,12.5,137.91,1025.1,21.95,1.51,16.98,1.21,269.73765322287693,0.9516834669852616,0.08463145083320053
39,12.0,139.58,1025.05,21.96,1.44,16.844,1.21,273.04524311391737,0.9326249535790878,0.07973046385382844
40,11.5,139.21,1025.09,21.96,1.347,16.422,1.21,272.31233339885137,0.9117067069303124,0.07478193485782066
41,11.0,140.66,1025.08,21.96,1.285,16.371,1.21,275.1848414570514,0.8993880540432606,0.07059517741406084
42,10.5,137.35,1025.08,21.96,1.175,15.598,1.21,268.62875597959146,0.8778348707809103,0.0661274505172182
43,10.0,139.61,1025.1,21.97,1.109,15.34,1.21,273.1046704811985,0.8491660954452235,0.061390169481665764
44,9.5,139.07,1025.05,21.98,1.023,14.685,1.21,272.0350296280972,0.8161040500186013,0.056852192248486824
45,9.0,139.25,1025.08,21.98,0.952,14.157,1.21,272.3915644007875,0.7857311874011363,0.05283718940495033
