xflr5 v6.61
SD6060-104-88-MP
T1_Re0.225_M0.06_N9.0_XtrTop15%_XtrBot15%
Alpha =   6.0,  Re =   225000,  Ma = 0.0610,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.0548   -1.623    -1.517     1.618     1.585
 0.0487   -1.665    -1.552     1.631     1.596
 0.0428   -1.709    -1.590     1.644     1.608
 0.0371   -1.755    -1.629     1.658     1.620
 0.0317   -1.814    -1.673     1.675     1.633
 0.0269   -1.883    -1.716     1.696     1.646
 0.0226   -1.940    -1.750     1.712     1.656
 0.0187   -1.976    -1.774     1.723     1.664
 0.0153   -1.990    -1.796     1.727     1.670
 0.0124   -2.007    -1.837     1.732     1.682
 0.0100   -2.046    -1.905     1.743     1.702
 0.0079   -2.141    -1.998     1.770     1.729
 0.0062   -2.362    -2.108     1.831     1.761
 0.0048   -2.565    -2.208     1.885     1.789
 0.0037   -2.693    -2.272     1.919     1.806
 0.0028   -2.738    -2.286     1.930     1.810
 0.0020   -2.714    -2.259     1.924     1.803
 0.0014   -2.658    -2.215     1.910     1.790
 0.0009   -2.633    -2.172     1.903     1.779
 0.0005   -2.615    -2.122     1.898     1.765
 0.0003   -2.581    -2.047     1.889     1.743
 0.0001   -2.499    -1.925     1.868     1.708
 0.0001   -2.323    -1.721     1.820     1.648
 0.0002   -1.995    -1.379     1.729     1.541
 0.0004   -1.406    -0.869     1.550     1.366
 0.0007   -0.735    -0.324     1.316     1.150
 0.0012   -0.166     0.132     1.080     0.932
 0.0019    0.266     0.473     0.857     0.727
 0.0026    0.569     0.707     0.657     0.542
 0.0036    0.771     0.857     0.480     0.379
 0.0049    0.895     0.945     0.325     0.236
 0.0064    0.964     0.988     0.193     0.113
 0.0083    0.996     1.001     0.068    -0.006
 0.0106    0.998     0.987    -0.051    -0.118
 0.0134    0.977     0.955    -0.154    -0.215
 0.0163    0.945     0.915    -0.237    -0.293
 0.0195    0.906     0.872    -0.308    -0.359
