xflr5 v6.61
SD6060-104-88-MP
T1_Re0.225_M0.06_N9.0_XtrTop15%_XtrBot15%
Alpha =   3.0,  Re =   225000,  Ma = 0.0610,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.268     0.163     0.856     0.915
 0.9971    0.245     0.158     0.869     0.918
 0.9920    0.227     0.153     0.879     0.920
 0.9861    0.209     0.147     0.889     0.924
 0.9795    0.192     0.141     0.899     0.927
 0.9726    0.175     0.133     0.909     0.931
 0.9655    0.159     0.125     0.917     0.935
 0.9582    0.146     0.117     0.924     0.940
 0.9508    0.133     0.109     0.931     0.944
 0.9434    0.119     0.100     0.939     0.949
 0.9360    0.106     0.091     0.946     0.954
 0.9286    0.092     0.082     0.953     0.958
 0.9211    0.079     0.072     0.960     0.963
 0.9137    0.066     0.062     0.966     0.968
 0.9061    0.054     0.053     0.973     0.973
 0.8986    0.041     0.043     0.979     0.978
 0.8911    0.029     0.033     0.985     0.984
 0.8836    0.017     0.023     0.991     0.989
 0.8760    0.005     0.013     0.997     0.994
 0.8685   -0.006     0.002     1.003     0.999
 0.8609   -0.018    -0.008     1.009     1.004
 0.8533   -0.029    -0.018     1.015     1.009
 0.8458   -0.041    -0.028     1.020     1.014
 0.8382   -0.052    -0.039     1.026     1.019
 0.8306   -0.064    -0.049     1.031     1.024
 0.8231   -0.075    -0.060     1.037     1.029
 0.8155   -0.086    -0.070     1.042     1.034
 0.8079   -0.097    -0.080     1.047     1.039
 0.8004   -0.108    -0.091     1.053     1.044
 0.7928   -0.119    -0.101     1.058     1.049
 0.7853   -0.130    -0.111     1.063     1.054
 0.7778   -0.140    -0.121     1.068     1.059
 0.7702   -0.151    -0.131     1.073     1.063
 0.7627   -0.161    -0.141     1.077     1.068
 0.7551   -0.172    -0.151     1.082     1.073
 0.7476   -0.182    -0.161     1.087     1.078
 0.7401   -0.192    -0.171     1.092     1.082
 0.7325   -0.202    -0.181     1.096     1.087
 0.7250   -0.212    -0.191     1.101     1.091
 0.7175   -0.223    -0.201     1.106     1.096
 0.7099   -0.233    -0.211     1.110     1.100
 0.7024   -0.243    -0.221     1.115     1.105
 0.6949   -0.253    -0.231     1.119     1.109
 0.6874   -0.263    -0.240     1.123     1.113
 0.6799   -0.273    -0.250     1.128     1.118
 0.6723   -0.282    -0.259     1.132     1.122
 0.6648   -0.292    -0.269     1.136     1.126
 0.6573   -0.301    -0.278     1.140     1.130
 0.6498   -0.310    -0.288     1.144     1.134
 0.6423   -0.320    -0.297     1.148     1.138
 0.6347   -0.329    -0.306     1.152     1.143
 0.6272   -0.338    -0.315     1.157     1.147
 0.6197   -0.348    -0.325     1.161     1.151
 0.6122   -0.357    -0.334     1.165     1.155
 0.6046   -0.367    -0.344     1.169     1.159
 0.5971   -0.377    -0.353     1.173     1.163
 0.5896   -0.386    -0.363     1.177     1.167
 0.5821   -0.396    -0.372     1.181     1.171
 0.5745   -0.407    -0.382     1.186     1.175
 0.5670   -0.417    -0.392     1.190     1.180
 0.5595   -0.428    -0.402     1.194     1.184
 0.5520   -0.438    -0.412     1.199     1.188
 0.5445   -0.449    -0.422     1.203     1.192
 0.5370   -0.459    -0.432     1.207     1.196
 0.5295   -0.469    -0.441     1.212     1.200
 0.5221   -0.478    -0.451     1.215     1.204
 0.5146   -0.488    -0.460     1.219     1.208
 0.5071   -0.497    -0.469     1.223     1.211
 0.4996   -0.506    -0.477     1.227     1.215
 0.4921   -0.514    -0.486     1.230     1.218
 0.4847   -0.523    -0.494     1.234     1.222
 0.4772   -0.531    -0.502     1.237     1.225
 0.4697   -0.539    -0.510     1.240     1.228
 0.4622   -0.547    -0.517     1.243     1.231
 0.4547   -0.554    -0.525     1.246     1.234
 0.4473   -0.561    -0.532     1.249     1.237
 0.4398   -0.568    -0.539     1.252     1.240
 0.4323   -0.575    -0.546     1.255     1.243
 0.4248   -0.582    -0.553     1.257     1.245
 0.4173   -0.589    -0.559     1.260     1.248
 0.4098   -0.595    -0.565     1.262     1.251
 0.4024   -0.601    -0.572     1.265     1.253
 0.3949   -0.608    -0.578     1.267     1.256
 0.3874   -0.614    -0.585     1.270     1.258
 0.3799   -0.620    -0.591     1.272     1.261
 0.3724   -0.626    -0.597     1.275     1.263
 0.3649   -0.632    -0.603     1.277     1.266
 0.3575   -0.638    -0.609     1.279     1.268
 0.3500   -0.644    -0.615     1.281     1.270
 0.3425   -0.650    -0.621     1.284     1.272
 0.3350   -0.655    -0.626     1.286     1.275
 0.3276   -0.661    -0.632     1.288     1.277
 0.3201   -0.667    -0.638     1.291     1.279
