xflr5 v6.61
SD6060-104-88-MP
T1_Re0.225_M0.06_N9.0_XtrTop15%_XtrBot15%
Alpha =  12.0,  Re =   225000,  Ma = 0.0610,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.0548   -3.350    -2.529     2.082     1.876
 0.0487   -3.520    -2.664     2.122     1.911
 0.0428   -3.712    -2.838     2.166     1.956
 0.0371   -3.927    -3.077     2.215     2.016
 0.0317   -4.190    -3.419     2.273     2.098
 0.0269   -4.499    -3.912     2.339     2.211
 0.0226   -4.811    -4.520     2.404     2.344
 0.0187   -5.114    -5.273     2.466     2.497
 0.0153   -5.398    -5.307     2.522     2.504
 0.0124   -5.716    -5.337     2.584     2.510
 0.0100   -6.107    -5.363     2.657     2.515
 0.0079   -6.659    -5.386     2.758     2.520
 0.0062   -7.576    -5.407     2.917     2.524
 0.0048   -8.531    -5.434     3.074     2.529
 0.0037   -9.366    -5.475     3.204     2.537
 0.0028  -10.040    -5.540     3.306     2.550
 0.0020  -10.569    -5.641     3.383     2.569
 0.0014  -11.061    -5.797     3.454     2.599
 0.0009  -11.734    -6.026     3.548     2.642
 0.0005  -12.537    -6.334     3.656     2.699
 0.0003  -13.402    -6.713     3.770     2.767
 0.0001  -14.220    -7.084     3.874     2.833
 0.0001  -14.767    -7.296     3.942     2.869
 0.0002  -14.669    -7.096     3.930     2.835
 0.0004  -13.053    -6.205     3.725     2.675
 0.0007  -10.488    -4.869     3.371     2.416
 0.0012   -7.941    -3.519     2.978     2.122
 0.0019   -5.729    -2.343     2.586     1.826
 0.0026   -3.944    -1.398     2.219     1.547
 0.0036   -2.557    -0.670     1.883     1.291
 0.0049   -1.520    -0.140     1.586     1.068
 0.0064   -0.821     0.224     1.349     0.881
 0.0083   -0.286     0.500     1.134     0.708
 0.0106    0.138     0.707     0.928     0.542
 0.0134    0.449     0.846     0.743     0.393
 0.0163    0.655     0.928     0.588     0.270
 0.0195    0.790     0.973     0.459     0.166
 0.0230    0.883     0.996     0.343     0.073
 0.0272    0.947     1.001     0.233    -0.016
 0.0323    0.985     0.990     0.127    -0.102
 0.0384    1.000     0.967     0.027    -0.183
 0.0451    0.997     0.937    -0.059    -0.253
 0.0518    0.985     0.906    -0.128    -0.309
 0.0583    0.967     0.875    -0.185    -0.355
 0.0650    0.946     0.845    -0.233    -0.395
 0.0719    0.925     0.816    -0.276    -0.430
 0.0789    0.902     0.788    -0.315    -0.461
 0.0862    0.879     0.761    -0.349    -0.489
 0.0935    0.857     0.736    -0.380    -0.514
 0.1008    0.835     0.713    -0.407    -0.537
 0.1081    0.815     0.691    -0.431    -0.557
 0.1155    0.795     0.670    -0.453    -0.575
 0.1228    0.776     0.651    -0.474    -0.592
 0.1302    0.758     0.632    -0.492    -0.607
 0.1376    0.741     0.614    -0.510    -0.622
 0.1451    0.725     0.598    -0.525    -0.635
 0.1526    0.709     0.582    -0.540    -0.647
 0.1601    0.694     0.567    -0.554    -0.659
 0.1676    0.679     0.553    -0.567    -0.670
 0.1751    0.666     0.539    -0.579    -0.680
 0.1826    0.652     0.525    -0.590    -0.689
 0.1901    0.639     0.513    -0.601    -0.699
 0.1976    0.627     0.501    -0.611    -0.707
 0.2052    0.615     0.491    -0.621    -0.714
 0.2127    0.604     0.480    -0.630    -0.721
 0.2203    0.593     0.470    -0.639    -0.728
 0.2279    0.582     0.460    -0.647    -0.735
 0.2354    0.572     0.450    -0.655    -0.742
 0.2430    0.562     0.440    -0.662    -0.749
 0.2506    0.552     0.430    -0.670    -0.755
 0.2582    0.543     0.421    -0.677    -0.761
 0.2657    0.534     0.412    -0.683    -0.767
 0.2733    0.525     0.403    -0.690    -0.773
 0.2809    0.516     0.395    -0.696    -0.778
 0.2885    0.508     0.386    -0.702    -0.784
 0.2961    0.500     0.379    -0.708    -0.789
 0.3037    0.492     0.371    -0.713    -0.794
 0.3113    0.484     0.363    -0.718    -0.798
 0.3189    0.477     0.356    -0.724    -0.803
 0.3265    0.470     0.349    -0.729    -0.807
 0.3341    0.463     0.342    -0.734    -0.812
 0.3417    0.456     0.335    -0.738    -0.816
 0.3493    0.449     0.328    -0.743    -0.820
 0.3569    0.442     0.321    -0.747    -0.824
 0.3645    0.436     0.315    -0.752    -0.828
 0.3721    0.429     0.309    -0.756    -0.832
